"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1950","User login with correct email, username and password","LMS system","2026-08-20","passed","2026-08-20","Registration","Authentication","",""
"","2019","User login with wrong email or password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","2121","Check displaying of dashboard page","LMS system","2026-08-20","passed","2026-08-20","Dashboard","Dashboard","",""
"","3389","User login with correct email and password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","1800","User login with wrong email or password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","0","test_regression_case","Tests.pytests","2026-08-20","passed","2026-08-20","","test_markers","",""
"","0","test_critical_login","Tests.pytests","2026-08-20","passed","2026-08-20","","test_markers","",""
"","0","test_forgot_password_link","Tests.pytests","2026-08-20","passed","2026-08-20","TestUserInterface","test_markers","",""
"","3057","Check edit course","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
"","2075","User login with wrong email or password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","1638","Navigation from login page to registration page","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","1819","Check displaying of empty course list","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
"","2749","Create course","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
